EPOCHS ,orginal,aug c16,augment,
      1,0.31973,0.32290,0.31519,
      2,0.49728,0.50340,0.50272,
      3,0.61882,0.62268,0.63900,
      4,0.69297,0.70272,0.70544,
      5,0.74830,0.74308,0.75805,
      6,0.79637,0.78662,0.79796,
      7,0.81293,0.81995,0.81610,
      8,0.82948,0.83197,0.84603,
      9,0.84626,0.83900,0.85465,
     10,0.85102,0.84671,0.85873,
     11,0.86825,0.86939,0.88050,
     12,0.87098,0.87347,0.88571,
     13,0.87778,0.87710,0.88957,
     14,0.89048,0.88934,0.89705,
     15,0.89206,0.89592,0.90227,
     16,0.90544,0.90113,0.90340,
     17,0.90113,0.90272,0.90317,
     18,0.91293,0.91383,0.91701,
     19,0.90748,0.90839,0.91678,
     20,0.92086,0.91814,0.91361,
     21,0.91791,0.91678,0.92653,
     22,0.91429,0.91633,0.92721,
     23,0.92268,0.93039,0.92358,
     24,0.92109,0.92336,0.92608,
     25,0.92268,0.92222,0.93424,
     26,0.93152,0.93107,0.93492,
     27,0.92812,0.92698,0.93220,
     28,0.92812,0.93243,0.93515,
     29,0.92585,0.92744,0.94104,
     30,0.93424,0.93401,0.93923,
     31,0.94172,0.93061,0.93469,
     32,0.93946,0.94150,0.93855,
     33,0.94104,0.93855,0.93537,
     34,0.93084,0.93696,0.93991,
     35,0.93810,0.93991,0.94512,
     36,0.93991,0.94195,0.93946,
     37,0.93628,0.93787,0.94671,
     38,0.94014,0.94172,0.94218,
     39,0.93832,0.93787,0.94082,
     40,0.93787,0.94059,0.94966,
     41,0.93424,0.94399,0.94830,
     42,0.94059,0.94989,0.94535,
     43,0.94240,0.94399,0.95193,
     44,0.94444,0.94172,0.95397,
     45,0.93696,0.94127,0.94853,
     46,0.94717,0.94807,0.95102,
     47,0.94376,0.95125,0.95011,
     48,0.94150,0.93991,0.94989,
     49,0.94263,0.95102,0.95147,
     50,0.94444,0.94762,0.95510,
     51,0.94943,0.94785,0.94853,
     52,0.94376,0.95442,0.95669,
     53,0.94853,0.95215,0.95465,
     54,0.95170,0.94966,0.96077,
     55,0.94535,0.95057,0.95646,
     56,0.95419,0.95102,0.95238,
     57,0.94467,0.95601,0.95760,
     58,0.94875,0.95170,0.95170,
     59,0.95737,0.95624,0.95533,
     60,0.95147,0.95238,0.94558,
     61,0.95556,0.95669,0.95624,
     62,0.95261,0.95941,0.95556,
     63,0.95261,0.94762,0.95782,
     64,0.95374,0.95306,0.95737,
     65,0.95578,0.95215,0.94762,
     66,0.95351,0.95147,0.95737,
     67,0.95351,0.95601,0.95374,
     68,0.95283,0.95442,0.95873,
     69,0.95510,0.95941,0.95510,
     70,0.95669,0.95306,0.95238,
     71,0.95261,0.95533,0.96281,
     72,0.95896,0.95828,0.95986,
     73,0.96168,0.95465,0.96168,
     74,0.95782,0.95782,0.96349,
     75,0.95986,0.95601,0.95714,
     76,0.95669,0.95782,0.96145,
     77,0.95556,0.95261,0.95805,
     78,0.95896,0.95646,0.96054,
     79,0.96145,0.95646,0.96009,
     80,0.96304,0.96259,0.96145,
     81,0.95896,0.95850,0.96372,
     82,0.96145,0.95533,0.95488,
     83,0.96054,0.95306,0.96281,
     84,0.95578,0.95488,0.96304,
     85,0.95351,0.95692,0.95986,
     86,0.95850,0.95646,0.96122,
     87,0.96009,0.96168,0.96077,
     88,0.95419,0.95850,0.96032,
     89,0.95714,0.96440,0.96395,
     90,0.95850,0.95918,0.95805,
     91,0.95601,0.95669,0.96644,
     92,0.95896,0.95873,0.95850,
     93,0.95986,0.95669,0.96281,
     94,0.96100,0.96304,0.96440,
     95,0.95918,0.96236,0.96009,
     96,0.95601,0.96395,0.96145,
     97,0.95918,0.95873,0.96395,
     98,0.96054,0.96009,0.96372,
     99,0.95692,0.96168,0.96531,
    100,0.95782,0.96100,0.96168,
    101,0.96054,0.95669,0.96463,
    102,0.96349,0.96304,0.96553,
    103,0.95896,0.95986,0.96054,
    104,0.95669,0.96372,0.96236,
    105,0.95828,0.96236,0.96100,
    106,0.95896,0.96417,0.95964,
    107,0.95918,0.95986,0.96281,
    108,0.95329,0.96417,0.96417,
    109,0.95986,0.96145,0.96349,
    110,0.96077,0.96304,0.96621,
    111,0.95850,0.95646,0.97211,
    112,0.95692,0.96032,0.96259,
    113,0.96100,0.96236,0.96916,
    114,0.95986,0.95986,0.96916,
    115,0.95714,0.95646,0.96553,
    116,0.96100,0.96190,0.96553,
    117,0.95964,0.96463,0.95964,
    118,0.95896,0.96304,0.96236,
    119,0.96009,0.96236,0.96372,
    120,0.96009,0.96145,0.96327,
    121,0.96440,0.96213,0.96848,
    122,0.95533,0.96735,0.95918,
    123,0.96054,0.96100,0.96009,
    124,0.95964,0.96009,0.96100,
    125,0.96032,0.96531,0.97029,
    126,0.96304,0.96712,0.96825,
    127,0.95510,0.96689,0.96893,
    128,0.96304,0.96667,0.96689,
    129,0.96327,0.95941,0.96621,
    130,0.95782,0.96553,0.96395,
    131,0.96349,0.96689,0.96871,
    132,0.95828,0.96485,0.96780,
    133,0.96032,0.96304,0.96168,
    134,0.96145,0.96463,0.96984,
    135,0.96213,0.96349,0.97052,
    136,0.96531,0.96689,0.96984,
    137,0.96077,0.96440,0.97029,
    138,0.96757,0.96327,0.96259,
    139,0.96009,0.96916,0.96939,
    140,0.96463,0.96395,0.96508,
    141,0.96440,0.96644,0.96871,
    142,0.95918,0.96599,0.96553,
    143,0.96417,0.95488,0.96757,
    144,0.97029,0.96009,0.96122,
    145,0.96168,0.96871,0.97234,
    146,0.96122,0.96531,0.96621,
    147,0.96848,0.96463,0.96236,
    148,0.96077,0.96259,0.96463,
    149,0.96100,0.96621,0.96122,
    150,0.96009,0.96712,0.96372,
    151,0.96395,0.96599,0.96644,
    152,0.96077,0.96599,0.96757,
    153,0.96236,0.96531,0.96304,
    154,0.95714,0.96213,0.97007,
    155,0.96122,0.96757,0.96961,
    156,0.96576,0.96463,0.96893,
    157,0.96780,0.97007,0.96327,
    158,0.96531,0.96757,0.96712,
    159,0.96372,0.95941,0.96780,
    160,0.96599,0.95873,0.96712,
    161,0.96576,0.96667,0.96871,
    162,0.96485,0.96825,0.96576,
    163,0.96689,0.96508,0.96780,
    164,0.96417,0.96122,0.95873,
    165,0.96667,0.96553,0.96780,
    166,0.96508,0.96100,0.96621,
    167,0.96009,0.96145,0.96984,
    168,0.95941,0.95737,0.96281,
    169,0.96825,0.96259,0.96599,
    170,0.96757,0.96712,0.96757,
    171,0.96621,0.95986,0.96893,
    172,0.96621,0.96440,0.96825,
    173,0.96621,0.96463,0.97007,
    174,0.96122,0.97098,0.96644,
    175,0.96599,0.96984,0.97120,
    176,0.96553,0.96485,0.96440,
    177,0.97007,0.96599,0.96757,
    178,0.95986,0.97052,0.97120,
    179,0.96871,0.96145,0.96463,
    180,0.95737,0.96372,0.96576,
    181,0.95896,0.97143,0.97166,
    182,0.96395,0.96893,0.97098,
    183,0.96190,0.96735,0.96848,
    184,0.96236,0.96485,0.96780,
    185,0.96372,0.96236,0.96939,
    186,0.96599,0.96213,0.96599,
    187,0.96395,0.95986,0.97098,
    188,0.96168,0.96372,0.96961,
    189,0.96531,0.96553,0.96440,
    190,0.96712,0.96259,0.96893,
    191,0.96440,0.96599,0.96939,
    192,0.96190,0.96961,0.97120,
    193,0.97483,0.96667,0.96689,
    194,0.96304,0.96757,0.97279,
    195,0.96440,0.96757,0.97029,
    196,0.96463,0.96531,0.96893,
    197,0.95986,0.96961,0.96780,
    198,0.96009,0.96644,0.96848,
    199,0.96122,0.96689,0.96961,
    200,0.96032,0.97007,0.96803,
    201,0.96531,0.96871,0.96644,
    202,0.96304,0.96961,0.97075,
    203,0.96259,0.97234,0.97483,
    204,0.96304,0.96236,0.97279,
    205,0.96599,0.96848,0.96236,
    206,0.96757,0.96304,0.96712,
    207,0.97007,0.96871,0.96803,
    208,0.96961,0.97256,0.96984,
    209,0.96122,0.96939,0.96531,
    210,0.96689,0.97188,0.96984,
    211,0.95964,0.97166,0.96984,
    212,0.96077,0.96190,0.96871,
    213,0.96508,0.96735,0.96893,
    214,0.96531,0.96689,0.96667,
    215,0.96032,0.96848,0.96667,
    216,0.95714,0.96689,0.97234,
    217,0.96145,0.97007,0.97347,
    218,0.96395,0.96871,0.97438,
    219,0.96780,0.97007,0.96780,
    220,0.96485,0.96485,0.96939,
    221,0.96417,0.97120,0.96961,
    222,0.96440,0.96916,0.97143,
    223,0.96780,0.96553,0.96621,
    224,0.96100,0.96803,0.96939,
    225,0.97052,0.97302,0.97211,
    226,0.96871,0.97302,0.96961,
    227,0.96281,0.96735,0.97166,
    228,0.96440,0.96803,0.96689,
    229,0.96644,0.96848,0.97098,
    230,0.95873,0.96349,0.97007,
    231,0.97075,0.96848,0.96531,
    232,0.96576,0.96893,0.96327,
    233,0.96848,0.96485,0.97143,
    234,0.96395,0.96621,0.96463,
    235,0.96440,0.96644,0.96848,
    236,0.96485,0.96599,0.96508,
    237,0.96372,0.95986,0.97755,
    238,0.96508,0.96054,0.96780,
    239,0.97052,0.96463,0.96893,
    240,0.96349,0.96531,0.96667,
    241,0.96803,0.97052,0.96576,
    242,0.96757,0.96916,0.96984,
    243,0.96009,0.97415,0.97234,
    244,0.96054,0.97029,0.97143,
    245,0.96145,0.97098,0.97234,
    246,0.96667,0.96780,0.97687,
    247,0.96054,0.96984,0.96780,
    248,0.96327,0.96689,0.97007,
    249,0.96667,0.97256,0.97823,
    250,0.96576,0.97143,0.96984,
    251,0.97029,0.96417,0.97166,
    252,0.96735,0.96825,0.97052,
    253,0.96757,0.97120,0.97415,
    254,0.97166,0.96871,0.97188,
    255,0.96803,0.96667,0.97392,
    256,0.96689,0.96281,0.97098,
    257,0.97075,0.97098,0.97460,
    258,0.96780,0.96961,0.97075,
    259,0.96508,0.96372,0.96961,
    260,0.97029,0.96803,0.96893,
    261,0.97007,0.96848,0.97029,
    262,0.96803,0.96213,0.97075,
    263,0.96644,0.96508,0.96780,
    264,0.96463,0.96689,0.97279,
    265,0.96984,0.96689,0.96825,
    266,0.96803,0.97075,0.97075,
    267,0.97347,0.97075,0.97392,
    268,0.96803,0.97143,0.96553,
    269,0.96893,0.96825,0.96893,
    270,0.96984,0.96259,0.97120,
    271,0.97506,0.96780,0.97324,
    272,0.96939,0.96780,0.97279,
    273,0.96871,0.96531,0.96757,
    274,0.96825,0.96961,0.97687,
    275,0.96780,0.96780,0.96984,
    276,0.96757,0.96372,0.97098,
    277,0.96871,0.96644,0.97234,
    278,0.96463,0.96803,0.96667,
    279,0.97188,0.96689,0.96961,
    280,0.96576,0.97415,0.97415,
    281,0.96735,0.97256,0.97188,
    282,0.96780,0.97029,0.96984,
    283,0.96984,0.96621,0.96735,
    284,0.96712,0.96961,0.97075,
    285,0.96961,0.96735,0.96939,
    286,0.96848,0.96259,0.97392,
    287,0.96644,0.96508,0.97347,
    288,0.96757,0.96644,0.97279,
    289,0.96349,0.95964,0.96621,
    290,0.96417,0.96961,0.96689,
    291,0.97007,0.96984,0.96735,
    292,0.97029,0.96689,0.97052,
    293,0.96848,0.96984,0.97188,
    294,0.96893,0.97075,0.97460,
    295,0.96984,0.97075,0.97098,
    296,0.97438,0.96667,0.96803,
    297,0.96553,0.96712,0.96871,
    298,0.96735,0.96984,0.97143,
    299,0.96576,0.97279,0.97438,
    300,0.96712,0.97279,0.97075,
    301,0.96735,0.97120,0.96803,
    302,0.97075,0.97392,0.96372,
    303,0.97007,0.96916,0.96644,
    304,0.96417,0.96984,0.97664,
    305,0.96327,0.96667,0.97007,
    306,0.96599,0.96825,0.96553,
    307,0.96871,0.96644,0.97483,
    308,0.96916,0.96190,0.97438,
    309,0.96508,0.96168,0.97007,
    310,0.96508,0.96689,0.97188,
    311,0.96599,0.96848,0.97302,
    312,0.96621,0.96939,0.97460,
    313,0.96327,0.96825,0.97029,
    314,0.97279,0.96825,0.96871,
    315,0.97120,0.97392,0.96757,
    316,0.96667,0.97324,0.97029,
    317,0.97029,0.97551,0.97166,
    318,0.97143,0.96712,0.97710,
    319,0.97098,0.96803,0.97551,
    320,0.97302,0.97052,0.97324,
    321,0.97098,0.97098,0.97800,
    322,0.97052,0.96916,0.97188,
    323,0.96893,0.96644,0.96757,
    324,0.96780,0.97234,0.96984,
    325,0.97143,0.96553,0.96848,
    326,0.96780,0.96961,0.97188,
    327,0.96531,0.97098,0.97370,
    328,0.97279,0.96712,0.96984,
    329,0.96599,0.97188,0.96984,
    330,0.97415,0.97120,0.96621,
    331,0.97029,0.97166,0.97120,
    332,0.97120,0.97120,0.96961,
    333,0.96961,0.97120,0.97052,
    334,0.97052,0.97302,0.96825,
    335,0.96689,0.97234,0.96984,
    336,0.96757,0.97075,0.96508,
    337,0.96916,0.96961,0.97098,
    338,0.97098,0.97007,0.97098,
    339,0.97460,0.97188,0.97279,
    340,0.96984,0.96803,0.97370,
    341,0.96553,0.96848,0.96916,
    342,0.97075,0.96961,0.97279,
    343,0.97279,0.97347,0.97415,
    344,0.96825,0.97324,0.97234,
    345,0.96893,0.96916,0.97052,
    346,0.97324,0.96961,0.97370,
    347,0.96803,0.96667,0.97256,
    348,0.96871,0.96757,0.97710,
    349,0.96961,0.97166,0.96871,
    350,0.97188,0.96599,0.97279,
    351,0.96984,0.96961,0.97438,
    352,0.97302,0.96667,0.97302,
    353,0.97302,0.96395,0.96916,
    354,0.97120,0.96984,0.96939,
    355,0.96780,0.97188,0.96939,
    356,0.96871,0.97234,0.97664,
    357,0.96735,0.97370,0.96871,
    358,0.97188,0.96961,0.97596,
    359,0.96621,0.97143,0.97029,
    360,0.97188,0.97143,0.96916,
    361,0.96712,0.97347,0.97415,
    362,0.95918,0.96780,0.97619,
    363,0.96553,0.96939,0.97642,
    364,0.96916,0.96780,0.97415,
    365,0.96780,0.97347,0.97596,
    366,0.96757,0.97029,0.97732,
    367,0.96531,0.96871,0.97528,
    368,0.96621,0.97052,0.97506,
    369,0.96803,0.96871,0.97166,
    370,0.97143,0.96893,0.97098,
    371,0.96667,0.96893,0.97007,
    372,0.96417,0.97324,0.96893,
    373,0.96599,0.97120,0.97120,
    374,0.96689,0.97143,0.97324,
    375,0.96463,0.96871,0.97075,
    376,0.96599,0.96825,0.97166,
    377,0.96327,0.96825,0.97302,
    378,0.96190,0.96009,0.97234,
